,Order_CultCham,A,callus,root,B,callus,root,C,callus,root,D,callus,root,E,callus,root,F,callus,root,G,callus,root,H,callus,root,I,callus,root
4_IBA_05_1,6,G2_b17_1,0,0,G2_b28_1,0,0,G2_b19_1,1,0,G2_b27_2,1,3,G1_22_1,1,0,G2_b16_1,1,0,G2_b11_1,0,0,G2_29_1,1,0,G2_b24_1,1,3
4_IBA_05_2,5,G2_b17_1,0,0,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,0,0,G1_22_1,1,0,G2_b16_1,0,0,G2_b11_1,1,2,G2_29_1,1,1,G2_b24_1,1,6
4_IBA_05_3,14,G2_b17_1,0,0,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,0,0,G1_22_1,1,0,G2_b16_1,1,2,G2_b11_1,1,3,G2_29_1,1,0,G2_b24_1,1,3
4_IBA_1_1,1,G2_b17_1,1,0,G2_b28_1,1,7,G2_b19_1,1,0,G2_b27_2,1,7,G1_22_1,1,0,G2_b16_1,1,0,G2_b11_1,1,4,G2_29_1,1,2,G2_b24_1,1,6
4_IBA_1_2,2,G2_b17_1,0,0,G2_b28_1,1,1,G2_b19_1,1,0,G2_b27_2,1,8,G1_22_1,1,0,G2_b16_1,1,1,G2_b11_1,1,3,G2_29_1,1,2,G2_b24_1,1,11
4_IBA_1_3,15,G2_b17_1,0,1,G2_b28_1,0,0,G2_b19_1,1,0,G2_b27_2,1,2,G1_22_1,1,0,G2_b16_1,1,3,G2_b11_1,1,4,G2_29_1,1,3,G2_b24_1,1,6
4_NAA_05_1,11,G2_b17_1,1,2,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,1,0,G1_22_1,1,0,G2_b16_1,0,0,G2_b11_1,1,0,G2_29_1,1,3,G2_b24_1,1,0
4_NAA_05_2,13,G2_b17_1,1,1,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,0,0,G1_22_1,1,0,G2_b16_1,1,2,G2_b11_1,0,0,G2_29_1,1,0,G2_b24_1,1,1
4_NAA_05_3,3,G2_b17_1,1,1,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,0,0,G1_22_1,0,0,G2_b16_1,0,0,G2_b11_1,1,0,G2_29_1,1,0,G2_b24_1,1,0
4_NAA_1_1,4,G2_b17_1,1,0,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,1,2,G1_22_1,1,0,G2_b16_1,1,0,G2_b11_1,1,1,G2_29_1,1,0,G2_b24_1,1,0
4_NAA_1_2,10,G2_b17_1,1,2,G2_b28_1,1,0,G2_b19_1,1,0,G2_b27_2,1,0,G1_22_1,1,0,G2_b16_1,0,0,G2_b11_1,1,5,G2_29_1,1,3,G2_b24_1,1,2
4_NAA_1_3,7,G2_b17_1,1,0,G2_b28_1,1,0,G2_b19_1,1,1,G2_b27_2,1,1,G1_22_1,1,0,G2_b16_1,1,1,G2_b11_1,1,1,G2_29_1,1,0,G2_b24_1,1,4
4_Control_1,9,G2_b17_1,0,0,G2_b28_1,0,0,G2_b19_1,0,0,G2_b27_2,0,0,G1_22_1,0,0,G2_b16_1,0,0,G2_b11_1,0,0,G2_29_1,0,0,G2_b24_1,0,0
4_Control_2,8,G2_b17_1,0,0,G2_b28_1,0,0,G2_b19_1,0,0,G2_b27_2,0,0,G1_22_1,0,0,G2_b16_1,0,0,G2_b11_1,0,0,G2_29_1,0,0,G2_b24_1,0,1
4_Control_3,12,G2_b17_1,0,0,G2_b28_1,0,0,G2_b19_1,0,0,G2_b27_2,0,0,G1_22_1,0,0,G2_b16_1,0,0,G2_b11_1,0,0,G2_29_1,0,0,G2_b24_1,0,1
